"","name","convergence","gene","metal","alpha","ox2RN","ox3RN","axlig1","axlig2","eqlig","ox_2_LS_converged","ox_3_LS_converged","ox_2_HS_converged","ox_3_HS_converged","ox_2_LS_energy","ox_3_LS_energy","ox_2_HS_energy","ox_3_HS_energy","ox_2_LS_init_energy","ox_3_LS_init_energy","ox_2_HS_init_energy","ox_3_HS_init_energy","ox_2_LS_flag_oct","ox_3_LS_flag_oct","ox_2_HS_flag_oct","ox_3_HS_flag_oct","ox_2_LS_num_coord_metal","ox_3_LS_num_coord_metal","ox_2_HS_num_coord_metal","ox_3_HS_num_coord_metal","ox_2_LS_HOMO","ox_3_LS_HOMO","ox_2_HS_HOMO","ox_3_HS_HOMO","ox_2_LS_LUMO","ox_3_LS_LUMO","ox_2_HS_LUMO","ox_3_HS_LUMO","ox_2_LS_rmsd_max","ox_3_LS_rmsd_max","ox_2_HS_rmsd_max","ox_3_HS_rmsd_max","ox_2_LS_atom_dist_max","ox_3_LS_atom_dist_max","ox_2_HS_atom_dist_max","ox_3_HS_atom_dist_max","ox_2_LS_oct_angle_devi_max","ox_3_LS_oct_angle_devi_max","ox_2_HS_oct_angle_devi_max","ox_3_HS_oct_angle_devi_max","ox_2_LS_dist_del_eq","ox_3_LS_dist_del_eq","ox_2_HS_dist_del_eq","ox_3_HS_dist_del_eq","ox_2_LS_dist_del_all","ox_3_LS_dist_del_all","ox_2_HS_dist_del_all","ox_3_HS_dist_del_all","ox_2_LS_max_del_sig_angle","ox_3_LS_max_del_sig_angle","ox_2_HS_max_del_sig_angle","ox_3_HS_max_del_sig_angle","ox_2_LS_coord","ox_3_LS_coord","ox_2_HS_coord","ox_3_HS_coord","ox_2_LS_rmsd","ox_3_LS_rmsd","ox_2_HS_rmsd","ox_3_HS_rmsd","ox_2_LS_maxd","ox_3_LS_maxd","ox_2_HS_maxd","ox_3_HS_maxd","ox_2_LS_status","ox_3_LS_status","ox_2_HS_status","ox_3_HS_status","ox_2_LS_time","ox_3_LS_time","ox_2_HS_time","ox_3_HS_time","ox_2_LS_spin","ox_3_LS_spin","ox_2_HS_spin","ox_3_HS_spin","ox_2_LS_ss_act","ox_3_LS_ss_act","ox_2_HS_ss_act","ox_3_HS_ss_act","ox_2_LS_ss_target","ox_3_LS_ss_target","ox_2_HS_ss_target","ox_3_HS_ss_target","ox_2_LS_ax1_MLB","ox_3_LS_ax1_MLB","ox_2_HS_ax1_MLB","ox_3_HS_ax1_MLB","ox_2_LS_ax2_MLB","ox_3_LS_ax2_MLB","ox_2_HS_ax2_MLB","ox_3_HS_ax2_MLB","ox_2_LS_eq_MLB","ox_3_LS_eq_MLB","ox_2_HS_eq_MLB","ox_3_HS_eq_MLB","ox_2_LS_init_ax1_MLB","ox_3_LS_init_ax1_MLB","ox_2_HS_init_ax1_MLB","ox_3_HS_init_ax1_MLB","ox_2_LS_init_ax2_MLB","ox_3_LS_init_ax2_MLB","ox_2_HS_init_ax2_MLB","ox_3_HS_init_ax2_MLB","ox_2_LS_init_eq_MLB","ox_3_LS_init_eq_MLB","ox_2_HS_init_eq_MLB","ox_3_HS_init_eq_MLB","ox_2_LS_thermo_cont","ox_3_LS_thermo_cont","ox_2_HS_thermo_cont","ox_3_HS_thermo_cont","ox_2_LS_imag","ox_3_LS_imag","ox_2_HS_imag","ox_3_HS_imag","ox_2_LS_solvent_cont","ox_3_LS_solvent_cont","ox_2_HS_solvent_cont","ox_3_HS_solvent_cont","ox_2_LS_geopath","ox_3_LS_geopath","ox_2_HS_geopath","ox_3_HS_geopath","ox_2_LS_terachem_version","ox_3_LS_terachem_version","ox_2_HS_terachem_version","ox_3_HS_terachem_version","ox_2_LS_terachem_detailed_version","ox_3_LS_terachem_detailed_version","ox_2_HS_terachem_detailed_version","ox_3_HS_terachem_detailed_version","ox_2_LS_basis","ox_3_LS_basis","ox_2_HS_basis","ox_3_HS_basis","ox_2_LS_charge","ox_3_LS_charge","ox_2_HS_charge","ox_3_HS_charge","ox_2_LS_alpha_level_shift","ox_3_LS_alpha_level_shift","ox_2_HS_alpha_level_shift","ox_3_HS_alpha_level_shift","ox_2_LS_beta_level_shift","ox_3_LS_beta_level_shift","ox_2_HS_beta_level_shift","ox_3_HS_beta_level_shift","ox_2_LS_functional","ox_3_LS_functional","ox_2_HS_functional","ox_3_HS_functional","ox_2_LS_mop_energy","ox_3_LS_mop_energy","ox_2_HS_mop_energy","ox_3_HS_mop_energy","ox_2_LS_mop_coord","ox_3_LS_mop_coord","ox_2_HS_mop_coord","ox_3_HS_mop_coord","ox_2_LS_attempted","ox_3_LS_attempted","ox_2_HS_attempted","ox_3_HS_attempted","attempted","eqn","goodConvergence"
"co_eq_smi150_ax1_smi150_ax2_smi150_ahf_20","co_eq_smi150_ax1_smi150_ax2_smi150_ahf_20",4,"co_smi150_smi150_smi150",3,20,470,471,"smi150","smi150","smi150","True","True","True","True","-712.5124774908","-712.0144377222","-712.5218130172","-711.9486173200","-712.4726149111","-711.9962838085","-712.5074520132","-711.9155347521","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.00506289792978","0.00312698953523","0.00444778318166","0.00113632062754","0.00506289792978","0.00312698953523","0.00444778318166","0.00113632062754","1.81556541659","1.40493280335","0.966872068673","0.840332633982","0.00602860073933","0.00054728963483","0.00259982759834","0.00151149886757","0.32487622594","0.00182106081701","0.00659006726383","0.00449101373807","2.66047808704","1.84810973177","1.65021199244","1.09741231615","6","6","6","6","0.710772309838","0.692625998729","0.100290747397","0.707613160681","4.35021119806","4.00181837511","4.26286369552","4.17648210723","0","0","0","0","15905.92","5742.16","4443.63","6062.90","2","1","4","5","0.756565","0.0","3.755623","6.008086","0.75","0.0","3.75","6.0","2.32388425305","1.98618424854","2.25924570919","2.15112845797","2.32534028326","1.9860596195","2.25798068466","2.15111822797","2.00321643253","1.98717847638","2.26207315949","2.15489265181","2.003999","2.000455","2.273953","2.247907","2.003999","2.000455","2.273953","2.247907","2.003999","2.000455","2.273953","2.247907","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_470_3_2_150_150_150_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_471_3_3_150_150_150_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_470_3_2_150_150_150_20_4.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_471_3_3_150_150_150_20_5.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,150,4
"mn_eq_smi153_ax1_smi153_ax2_smi153_ahf_20","mn_eq_smi153_ax1_smi153_ax2_smi153_ahf_20",4,"mn_smi153_smi153_smi153",1,20,474,475,"smi153","smi153","smi153","True","True","True","True","-767.3036916033","-766.6817554110","-767.3280703713","-766.7322187989","-767.2286291243","-766.6123630097","-767.1303505571","-766.7321756282","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.00152787892131","0.0187887695239","0.000951632472158","0.0174502321554","0.00152787892131","0.0187887695239","0.000951632472158","0.0174502321554","4.62286276387","3.41882140856","3.59233466148","2.63192528974","0.038478202703","0.00725135608814","0.0179034706921","0.0126315612806","0.0796545138505","0.10205982798","0.0845218097971","0.0416167029729","5.75478065985","6.45174872793","4.8349352241","4.98025613396","6","6","6","6","0.606785508089","0.643376137784","0.77865505767","0.718342497799","3.14276884536","3.73960976021","3.36034604438","3.78065514736","0","0","0","0","6980.65","19990.81","5314.67","5610.05","2","1","6","5","0.785689","1.901909","8.752545","6.48526","0.75","0.0","8.75","6.0","2.05368722037","2.09074330669","2.31554950948","2.11421458694","2.0287415249","2.09716198869","2.35139125536","2.08772728207","2.0531947257","2.0706340822","2.35732566041","2.09621850013","2.142244","2.083029","2.391362","2.074837","2.142244","2.083029","2.391362","2.074837","2.142244","2.083029","2.391362","2.074837","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_474_1_2_153_153_153_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_475_1_3_153_153_153_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_474_1_2_153_153_153_20_6.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_475_1_3_153_153_153_20_5.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,153,4
"mn_eq_smi9_ax1_smi9_ax2_smi9_ahf_20","mn_eq_smi9_ax1_smi9_ax2_smi9_ahf_20",4,"mn_smi9_smi9_smi9",1,20,10,11,"smi9","smi9","smi9","True","True","True","True","-442.8636753621","-442.3169751286","-442.9236792387","-442.3464141854","-442.8447427749","-442.3005445566","-442.9022248157","-442.3054879373","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.0","0.0","0.0","0.0","0","0","0","0","0.524145776428","2.30192848648","1.5404974625","2.50007282502","0.00333736332973","0.000232467078827","0.00352637306969","0.00252507373117","0.00645848018618","0.00517878839011","0.00635859491515","0.275271829532","0.704759096648","4.14967486431","2.87335360661","4.65741514296","6","6","6","6","0.544663981806","0.526258992342","0.580702214042","0.528072606755","2.78109885741","2.70673524764","2.94466262442","2.97739078369","0","0","0","0","9182.68","58578.03","2754.26","10810.40","2","1","6","5","0.882118","1.108563","8.751702","6.068093","0.75","0.0","8.75","6.0","2.16089371109","2.09962839457","2.35372944651","2.11320685873","2.16057209133","2.10457471588","2.35733316752","2.11153244197","2.1606009904","2.10050168253","2.35474319216","2.24712397926","2.119295","2.048041","2.338479","2.061387","2.119295","2.048041","2.338479","2.061387","2.119295","2.048041","2.338479","2.061387","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_10_1_2_9_9_9_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_11_1_3_9_9_9_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_10_1_2_9_9_9_20_6.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_11_1_3_9_9_9_20_5.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,9,4
"mn_eq_smi163_ax1_smi163_ax2_smi163_ahf_20","mn_eq_smi163_ax1_smi163_ax2_smi163_ahf_20",4,"mn_smi163_smi163_smi163",1,20,514,515,"smi163","smi163","smi163","True","True","True","True","-760.3964779815","-759.6454965153","-760.4582249353","-759.6747520320","-760.3833799761","-759.6453183150","-760.4484444075","-759.6680300921","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.00782270430104","0.00424978511805","0.00774099968017","0.00600501944898","0.00782270430104","0.00424978511805","0.00774099968017","0.00600501944898","1.12457202086","5.27461911064","0.000413636981884","0.0275436130974","0.000473302923071","0.0768513797263","4.04461417292e-06","0.00165726389067","0.00259979576348","0.239865781126","9.93960764806e-06","0.175291523385","1.92467544581","7.22320890115","0.000810284718085","0.0462659688326","6","6","6","6","0.554580802674","1.00551269432","0.131562852509","0.0821776524952","3.16514993137","3.24408996803","3.43588845539","3.31804405076","0","0","0","0","14144.97","16322.97","229.70","1645.01","2","1","6","5","0.830342","1.200133","8.751201","6.097782","0.75","0.0","8.75","6.0","2.05777722641","1.97973355241","2.3313725243","2.03456994777","2.05785284679","1.94728225618","2.33137656891","2.03458081836","2.05930921808","2.02426778572","2.33137471759","2.20907334052","2.025314","2.118788","2.460357","2.168615","2.025314","2.118788","2.460357","2.168615","2.025314","2.118788","2.460357","2.168615","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_514_1_2_163_163_163_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_515_1_3_163_163_163_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_514_1_2_163_163_163_20_6.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_515_1_3_163_163_163_20_5.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,163,4
"fe_eq_smi238_ax1_smi238_ax2_smi238_ahf_20","fe_eq_smi238_ax1_smi238_ax2_smi238_ahf_20",4,"fe_smi238_smi238_smi238",2,20,684,685,"smi238","smi238","smi238","True","True","True","True","-810.0278644058","-809.4650110580","-810.0475756892","-809.4814832471","-810.0274650074","-809.4650086809","-810.0258795133","-809.4530324421","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.00443058165198","0.00875554298869","0.00382379656163","0.00730416787016","0.00443058165198","0.00875554298869","0.00382379656163","0.00730416787016","1.47354494942","1.49865805819","5.29190164886","1.58915155421","0.00105055317497","0.000640190434334","0.00848094183887","0.0082206002357","0.00273708040818","0.0184490964221","0.0223551503695","0.0695712947764","2.5359713685","2.5911851435","9.19989366289","2.99321753163","6","6","6","6","1.65181562464","1.05407302329","1.09687495009","0.963494365081","3.92637528125","3.91787090113","4.14094560467","4.05929843301","0","0","0","0","16808.31","1154.87","12369.00","15036.70","1","2","5","6","0.065376","0.819205","6.011338","8.760651","0.0","0.75","6.0","8.75","1.98370589088","1.93305830866","2.1455267331","2.06443230059","1.98263480437","1.9340538807","2.12675583775","2.06963337093","1.98152429988","1.95130715162","2.13141636827","2.03750578073","1.873032","1.852911","2.089673","1.991412","1.873032","1.852911","2.089673","1.991412","1.873032","1.852911","2.089673","1.991412","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_684_2_2_238_238_238_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_685_2_3_238_238_238_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_684_2_2_238_238_238_20_5.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_685_2_3_238_238_238_20_6.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,238,4
"fe_eq_smi9_ax1_smi9_ax2_smi9_ahf_20","fe_eq_smi9_ax1_smi9_ax2_smi9_ahf_20",4,"fe_smi9_smi9_smi9",2,20,12,13,"smi9","smi9","smi9","True","True","True","True","-462.3945177096","-461.8403677027","-462.4098813076","-461.8324733984","-462.3519121049","-461.8242623330","-462.3860010123","-461.8149198369","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.0","0.0","0.0","0.0","0","0","0","0","0.897701896079","3.03576677072","2.70456703918","3.37204341601","0.000652868733226","0.00186806098534","0.0119747378634","0.000652675712729","0.00281166866843","0.00403527991342","0.0254389810411","0.00248615469702","1.61138918803","4.75053685413","4.39274112883","6.51706091763","6","6","6","6","0.531107454627","0.627017332788","0.613519284228","0.735151029521","2.70999499603","2.67293370453","2.8893039687","2.81179752991","0","0","0","0","7883.79","11541.31","3740.30","3219.32","1","2","5","6","2.3e-05","0.796025","6.004017","8.754728","0.0","0.75","6.0","8.75","2.1051438605","2.0640956932","2.30454363408","2.22754544606","2.10449099177","2.065599697","2.30545486328","2.22788289426","2.10455341297","2.06600473806","2.28680359253","2.22723726572","1.937391","1.999298","2.213098","2.19986","1.937391","1.999298","2.213098","2.19986","1.937391","1.999298","2.213098","2.19986","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_12_2_2_9_9_9_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_13_2_3_9_9_9_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_12_2_2_9_9_9_20_5.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_13_2_3_9_9_9_20_6.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,9,4
"cr_eq_smi9_ax1_smi9_ax2_smi9_ahf_20","cr_eq_smi9_ax1_smi9_ax2_smi9_ahf_20",4,"cr_smi9_smi9_smi9",0,20,8,9,"smi9","smi9","smi9","True","True","True","True","-425.2551436179","-424.7392754211","-425.2939115594","-424.7820583010","-425.2335085649","-424.7210699399","-425.2478871969","-424.7622427754","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.0","0.0","0.0","0.0","0","0","0","0","1.09595637579","2.30696069227","1.80836326855","1.8204738922","0.00176034340206","0.000981372116082","0.00217324789995","0.00112894089955","0.0737138648267","0.0034314412052","0.375346054743","0.00338573623956","2.03719459148","4.11881656049","3.65849452555","3.35052226227","6","6","6","6","0.53525937455","0.496822394561","0.647273926824","0.531540459331","2.88402368165","2.74657564874","3.16679588159","2.75218851208","0","0","0","0","44134.32","61892.19","11520.22","2511.37","1","2","5","4","1.509585","1.756356","6.009856","3.780767","0.0","0.75","6.0","3.75","2.28969078337","2.14409731455","2.58697504931","2.14878349275","2.29391235081","2.14200749251","2.58815055232","2.14962645562","2.22107118266","2.14250719487","2.213770266","2.14863082689","2.188085","2.102806","2.169659","2.09443","2.188085","2.102806","2.169659","2.09443","2.188085","2.102806","2.169659","2.09443","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_8_0_2_9_9_9_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_9_0_3_9_9_9_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_8_0_2_9_9_9_20_5.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_9_0_3_9_9_9_20_4.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,9,4
"co_eq_smi9_ax1_smi9_ax2_smi9_ahf_20","co_eq_smi9_ax1_smi9_ax2_smi9_ahf_20",4,"co_smi9_smi9_smi9",3,20,14,15,"smi9","smi9","smi9","True","True","True","True","-484.0247637926","-483.4819876950","-484.0415279752","-483.4244067433","-483.9474013657","-483.4670303491","-484.0227515662","-483.4085676704","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.0","0.0","0.0","0.0","0","0","0","0","1.57646524097","1.74781398518","2.40464774636","4.40253956614","0.0220176003335","0.00180814183013","0.00114762316924","0.00620970281566","0.334028563121","0.00403071593563","0.00791914421758","0.0162627669689","2.99324101263","3.31546702447","3.51499060446","8.08710358553","6","6","6","6","0.613277964451","0.423347872411","0.592374653207","0.691852719185","2.98590901875","2.63743293696","2.84447955127","2.79741440928","0","0","0","0","14308.27","1817.33","3125.38","3656.32","2","1","4","5","0.879678","0.0","3.753375","6.007023","0.75","0.0","3.75","6.0","2.39345368216","2.03150398674","2.25328511882","2.21511791744","2.38596624213","2.03242784461","2.24973778315","2.19885515047","2.07127569588","2.03195950518","2.25495785818","2.20857523348","1.926864","1.966571","2.225636","2.22688","1.926864","1.966571","2.225636","2.22688","1.926864","1.966571","2.225636","2.22688","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_14_3_2_9_9_9_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_15_3_3_9_9_9_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_14_3_2_9_9_9_20_4.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_15_3_3_9_9_9_20_5.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,9,4
"cr_eq_smi232_ax1_smi232_ax2_smi232_ahf_20","cr_eq_smi232_ax1_smi232_ax2_smi232_ahf_20",4,"cr_smi232_smi232_smi232",0,20,664,665,"smi232","smi232","smi232","True","True","True","True","-2596.0484876979","-2595.5553584188","-2596.1050258498","-2595.5961930660","-2596.0484764266","-2595.5553569307","-2596.0171112416","-2595.5083038880","1","1","1","1","6","6","6","6","undef","undef","undef","undef","undef","undef","undef","undef","0.0178076714622","0.0474089750721","0.014930260203","0.0448830662418","0.0178076714622","0.0474089750721","0.014930260203","0.0448830662418","6.87359693744","3.06502752671","8.46143343107","2.44225472762","0.0457086905188","0.0201376356314","0.0407661636276","0.00547861323486","0.12329740587","0.0483532339477","0.368524246739","0.0199986711466","9.79475202303","5.72973400556","14.5018208386","3.49967870284","6","6","6","6","0.725005442218","0.664943601294","1.07002900615","1.2607775349","4.40470038978","4.14830996937","4.26929253926","3.82843302888","0","0","0","0","5968.66","8393.87","17496.93","10170.23","1","2","5","4","1.636588","1.758231","6.00789","3.790473","0.0","0.75","6.0","3.75","2.17724173196","2.04928055696","2.11311104188","2.0241788487","2.20136305472","2.00092732301","2.10763246439","2.02530134286","2.13265946376","2.021716338","2.25883313193","2.01520912446","2.06418","1.944466","2.023794","1.910384","2.06418","1.944466","2.023794","1.910384","2.06418","1.944466","2.023794","1.910384","False","False","False","False","False","False","False","False","False","False","False","False","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_664_0_2_232_232_232_20_1.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_665_0_3_232_232_232_20_2.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_664_0_2_232_232_232_20_5.xyz","/home/sgugler/smu/smuNeturalHomo1/optimized_geo/gen_0/gen_0_slot_665_0_3_232_232_232_20_4.xyz","v1.5K","v1.5K","v1.5K","v1.5K","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","0753f81bf97b+","lacvps_ecp","lacvps_ecp","lacvps_ecp","lacvps_ecp","2","3","2","3","1.0","1.0","1.0","1.0","0.1","0.1","0.1","0.1","b3lyp","b3lyp","b3lyp","b3lyp","undef","undef","undef","undef","0","0","0","0","True","True","True","True",4,232,4
